Unicode Symbol,Sound,stop,fricative,nasal,liquid,glide,vowel,obstruent,sonorant,labial,dental,palatal,velar,labiovelar,uvular,glottal,dorsal,high,low,front,back,Voice,Syllabic,Round,Long,Accented,k('),ǵ(ʰ),g(')ʰ,g('),k(ʷ),g(ʷ)ʰ,g(ʷ),hₓ,w,u̯,y,i̯,T,K,H,F,G,L,N,C,V,O,R
p,p,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
P,pʰ,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
b,b,1,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
B,bʰ,1,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
t,t,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,
T,tʰ,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,
d,d,1,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,
D,dʰ,1,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,
c,ḱ,1,,,,,,1,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,1,
Ç,ḱʰ,1,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,
j,ǵ,1,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,1,,1,,,,,,,,,,1,,,,,,1,,1,
J,ǵʰ,1,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,1,1,,,,,,,,,,,1,,,,,,1,,1,
k,k,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,1,,1,
K,kʰ,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,
g,g,1,,,,,,1,,,,,1,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,1,
G,gʰ,1,,,,,,1,,,,,1,,,,1,,,,,1,,,,,,,1,,,1,,,,,,,,1,,,,,,1,,1,
q,kʷ,1,,,,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,1,
ç,kʷʰ,1,,,,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,
Q,gʷ,1,,,,,,1,,,,,,1,,,1,,,,,1,,1,,,,,,,,,1,,,,,,,1,,,,,,1,,1,
W,gʷʰ,1,,,,,,1,,,,,,1,,,1,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,1,
1,h₁,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,1,
2,h₂,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,1,
3,h₃,,1,,,,,1,,,,,,,1,,1,,,,,1,,1,,,,,,,,,,1,,,,,,,1,1,,,,1,,1,
s,s,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,
z,z,,1,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,
,u̯,,,,,1,,,1,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,1,1,,,,,,,1,,,1,,,1
w,w,,,,,1,,,1,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,1,1,,,,,,,1,,,1,,,1
,i̯,,,,,1,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,,1
y,y,,,,,1,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,,1
r,r,,,,1,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
l,l,,,,1,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
m,m,,,1,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1
n,n,,,1,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1
R,r̥,,,,1,,,,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1
L,l̥,,,,1,,,,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1
M,m̥,,,1,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1
N,n̥,,,1,,,,,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1
i,i,,,,,,1,,1,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1
u,u,,,,,,1,,1,,,,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1
a,a,,,,,,1,,1,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1
e,e,,,,,,1,,1,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1
o,o,,,,,,1,,1,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1
ā,ā,,,,,,1,,1,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1
ē,ē,,,,,,1,,1,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1
ō,ō,,,,,,1,,1,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1
á,á,,,,,,1,,1,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,1
é,é,,,,,,1,,1,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,1
ó,ó,,,,,,1,,1,,,,,,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1
A,ā́,,,,,,1,,1,,,,,,,,,,1,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1
E,ḗ,,,,,,1,,1,,,,,,,,,,,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1
O,ṓ,,,,,,1,,1,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,1
í,í,,,,,,1,,1,,,,,,,,,1,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,1
ī,ī,,,,,,1,,1,,,,,,,,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1
I,ī́,,,,,,1,,1,,,,,,,,,1,,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1
ú,ú,,,,,,1,,1,,,,,,,,,1,,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1
ū,ū,,,,,,1,,1,,,,,,,,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1
ū́,ū́,,,,,,1,,1,,,,,,,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,1
ə,ə,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1
ē̆,ē̆,,,,,,1,,1,,,,,,,,,,,1,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1
ō̆,ō̆,,,,,,1,,1,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1
